year_month,export_amount,import_amount,trade_balance,country_name,year_month
2000-01-31,2609787984,2217024691,392763293,미국,2000-01
2000-01-31,1551722070,2357231460,-805509390,일본,2000-01
2000-01-31,1235215271,1008165662,227049609,중국,2000-01
2000-01-31,782348732,110604480,671744252,홍콩,2000-01
2000-01-31,589666805,329642679,260024126,대만,2000-01
2000-01-31,464550050,318807419,145742631,싱가포르,2000-01
2000-01-31,362333456,176783277,185550179,영국,2000-01
2000-01-31,334995876,380840674,-45844798,독일,2000-01
2000-01-31,270838573,486990054,-216151481,말레이시아,2000-01
2000-01-31,269739954,154427644,115312310,필리핀,2000-01
2000-01-31,221774078,561263610,-339489532,인도네시아,2000-01
2000-01-31,175771744,85636967,90134777,네덜란드,2000-01
2000-01-31,174353921,52682422,121671499,멕시코,2000-01
2000-01-31,168965826,418330113,-249364287,호주,2000-01
2000-01-31,158803099,166710480,-7907381,캐나다,2000-01
2000-01-31,151251746,104524187,46727559,태국,2000-01
2000-01-31,138379320,118412877,19966443,이탈리아,2000-01
2000-01-31,135057110,184264280,-49207170,프랑스,2000-01
2000-01-31,131167077,276245575,-145078498,아랍에미리트 연합,2000-01
2000-01-31,126874433,74035396,52839037,인도,2000-01
2000-01-31,120631261,18571309,102059952,스페인,2000-01
2000-01-31,115190095,82492178,32697917,브라질,2000-01
2000-01-31,110436502,302377409,-191940907,이란,2000-01
2000-01-31,109742698,27847239,81895459,베트남,2000-01
2000-01-31,86407458,834623132,-748215674,사우디아라비아,2000-01
2000-01-31,79500511,43670324,35830187,벨기에,2000-01
2000-01-31,78650249,2628318,76021931,튀르키예,2000-01
2000-01-31,67679853,3471994,64207859,파나마,2000-01
2000-01-31,61962385,4904433,57057952,폴란드,2000-01
2000-01-31,50465627,47265125,3200502,아일랜드,2000-01
2000-01-31,48135486,22594975,25540511,핀란드,2000-01
2000-01-31,47906237,110231336,-62325099,러시아 연방,2000-01
2000-01-31,47746808,2043272,45703536,기타국,2000-01
2000-01-31,45531814,39641973,5889841,이스라엘,2000-01
2000-01-31,45333496,1057526,44275970,라이베리아,2000-01
2000-01-31,39674043,69412883,-29738840,칠레,2000-01
2000-01-31,38402974,1511909,36891065,방글라데시,2000-01
2000-01-31,37797278,71677952,-33880674,남아프리카공화국,2000-01
2000-01-31,33883449,22800,33860649,바하마,2000-01
2000-01-31,33342555,3303707,30038848,몰타,2000-01
2000-01-31,32820114,1086639,31733475,포루투갈,2000-01
2000-01-31,32076371,17331231,14745140,아르헨티나,2000-01
2000-01-31,31629560,852596,30776964,베네주엘라,2000-01
2000-01-31,31562613,21476221,10086392,파키스탄,2000-01
2000-01-31,30025174,43905122,-13879948,스웨덴,2000-01
2000-01-31,29328311,4456584,24871727,스리랑카,2000-01
2000-01-31,29187396,70061796,-40874400,스위스,2000-01
2000-01-31,28288456,0,28288456,리비아,2000-01
2000-01-31,28133613,43236,28090377,과테말라,2000-01
2000-01-31,27005818,11702713,15303105,이집트,2000-01
2000-01-31,26736736,1715287,25021449,그리스,2000-01
2000-01-31,24479014,1465208,23013806,미얀마,2000-01
2000-01-31,22223493,17513454,4710039,오스트리아,2000-01
2000-01-31,21250040,5674618,15575422,페루,2000-01
2000-01-31,20602645,55119843,-34517198,뉴질랜드,2000-01
2000-01-31,20066058,2169104,17896954,루마니아,2000-01
2000-01-31,15275493,29002789,-13727296,덴마크,2000-01
2000-01-31,15035457,52013,14983444,나이지리아,2000-01
2000-01-31,14701725,11887873,2813852,우즈베키스탄,2000-01
2000-01-31,13840504,103,13840401,알제리,2000-01
2000-01-31,13465116,436813,13028303,시리아,2000-01
2000-01-31,13310844,4834603,8476241,콜롬비아,2000-01
2000-01-31,13247576,21802385,-8554809,노르웨이,2000-01
2000-01-31,13226554,7138979,6087575,헝가리,2000-01
2000-01-31,13224460,235193153,-221968693,쿠웨이트,2000-01
2000-01-31,13202128,4705674,8496454,요르단,2000-01
2000-01-31,11619174,930088,10689086,우루과이,2000-01
2000-01-31,10992372,3785490,7206882,도미니카 공화국,2000-01
2000-01-31,10646873,30174660,-19527787,우크라이나,2000-01
2000-01-31,10388070,4050,10384020,온두라스,2000-01
2000-01-31,9393435,89591461,-80198026,오만,2000-01
2000-01-31,9345029,593015,8752014,슬로베니아,2000-01
2000-01-31,8823770,20564841,-11741071,괌,2000-01
2000-01-31,8239273,3170776,5068497,코스타리카,2000-01
2000-01-31,7613076,0,7613076,아프카니스탄,2000-01
2000-01-31,7268578,122447,7146131,레바논,2000-01
2000-01-31,6072040,91991,5980049,튀니지,2000-01
2000-01-31,5952744,138882,5813862,캄보디아,2000-01
2000-01-31,5755011,6337463,-582452,체코공화국,2000-01
2000-01-31,5719270,1785890,3933380,푸에르토리코,2000-01
2000-01-31,5652716,1006898,4645818,모로코,2000-01
2000-01-31,5259833,31191,5228642,엘살바도르,2000-01
2000-01-31,4835644,43846,4791798,북마리아나 군도,2000-01
2000-01-31,4804274,111936,4692338,수단,2000-01
2000-01-31,4018717,8,4018709,에티오피아,2000-01
2000-01-31,3898516,58567290,-54668774,예맨,2000-01
2000-01-31,3739536,130139191,-126399655,카타르,2000-01
2000-01-31,3645901,532000,3113901,가나,2000-01
2000-01-31,3528141,6070416,-2542275,카자흐스탄,2000-01
2000-01-31,3222028,27570,3194458,니카라과,2000-01
2000-01-31,2813338,13857,2799481,사이프러스,2000-01
2000-01-31,2705222,10872771,-8167549,바레인,2000-01
2000-01-31,2664093,75087,2589006,마카오,2000-01
2000-01-31,2646720,473253,2173467,에쿠아도르,2000-01
2000-01-31,2579877,66868,2513009,크로아티아,2000-01
2000-01-31,2527760,121654,2406106,몽골,2000-01
2000-01-31,2244348,21679,2222669,투르크멘,2000-01
2000-01-31,2223404,60,2223344,파라과이,2000-01
2000-01-31,2202781,108997,2093784,케냐,2000-01
2000-01-31,2078063,0,2078063,트리니다드 토바고,2000-01
2000-01-31,2057527,137115,1920412,코트디봐르,2000-01
2000-01-31,1909069,103730,1805339,세네갈,2000-01
2000-01-31,1886744,28884,1857860,팔라우,2000-01
2000-01-31,1867732,858440,1009292,불가리아,2000-01
2000-01-31,1772615,286,1772329,자마이카,2000-01
2000-01-31,1742004,0,1742004,지부티,2000-01
2000-01-31,1638440,31847,1606593,네팔,2000-01
2000-01-31,1557608,0,1557608,토고,2000-01
2000-01-31,1479554,449319,1030235,모리셔스,2000-01
2000-01-31,1434509,108754,1325755,유고,2000-01
2000-01-31,1399214,1649219,-250005,볼리비아,2000-01
2000-01-31,1377739,124593,1253146,탄자니아,2000-01
2000-01-31,1301848,872059,429789,슬로바키아,2000-01
2000-01-31,1272667,430690,841977,적도 기니,2000-01
2000-01-31,1271413,0,1271413,불령 리유니온 코모도 제도,2000-01
2000-01-31,1075659,0,1075659,아이티,2000-01
2000-01-31,1042142,121800,920342,짐바브웨,2000-01
2000-01-31,1031445,0,1031445,레소토,2000-01
2000-01-31,973563,446987,526576,에스토니아,2000-01
2000-01-31,944638,4008100,-3063462,피지,2000-01
2000-01-31,921479,126609960,-125688481,앙골라,2000-01
2000-01-31,891312,0,891312,마세도니아,2000-01
2000-01-31,827145,0,827145,베닝,2000-01
2000-01-31,814414,18630,795784,도미니카,2000-01
2000-01-31,798269,0,798269,팔레스타인 해방기구(구),2000-01
2000-01-31,747460,1911091,-1163631,스와질랜드,2000-01
2000-01-31,726958,115,726843,라트비아,2000-01
2000-01-31,679431,40766095,-40086664,브루나이,2000-01
2000-01-31,671026,6288526,-5617500,뉴 칼레도니아,2000-01
2000-01-31,614480,0,614480,마티니크,2000-01
2000-01-31,596502,1037317,-440815,리투아니아,2000-01
2000-01-31,567620,16370,551250,마다카스카르,2000-01
2000-01-31,559609,408249,151360,아이슬란드,2000-01
2000-01-31,521534,0,521534,아메리칸 사모아,2000-01
2000-01-31,521442,27601939,-27080497,콩고,2000-01
2000-01-31,517385,18866547,-18349162,파푸아 뉴기니,2000-01
2000-01-31,502724,0,502724,버뮤다,2000-01
2000-01-31,488470,0,488470,불령 폴리네시아,2000-01
2000-01-31,463252,2125,461127,마이크로네시아,2000-01
2000-01-31,398743,75227452,-74828709,니제르,2000-01
2000-01-31,396425,0,396425,아루바,2000-01
2000-01-31,376695,95473,281222,라오스,2000-01
2000-01-31,372902,574,372328,에리트리아,2000-01
2000-01-31,370386,235335,135051,카메룬,2000-01
2000-01-31,367133,9500,357633,보츠와나,2000-01
2000-01-31,366452,118366,248086,모잠비크,2000-01
2000-01-31,358396,0,358396,부르키나 파소,2000-01
2000-01-31,357513,0,357513,과델로프,2000-01
2000-01-31,343106,0,343106,바베이도스,2000-01
2000-01-31,337372,0,337372,키르기스스탄,2000-01
2000-01-31,322223,303188,19035,조지아,2000-01
2000-01-31,307707,0,307707,아제르바이잔,2000-01
2000-01-31,293894,0,293894,마샬군도,2000-01
2000-01-31,277812,176,277636,사모아,2000-01
2000-01-31,274527,0,274527,몰도바,2000-01
2000-01-31,268525,27746696,-27478171,기니,2000-01
2000-01-31,259299,0,259299,수리남,2000-01
2000-01-31,247891,0,247891,르완다,2000-01
2000-01-31,242565,0,242565,소말리아,2000-01
2000-01-31,212394,13347,199047,시에라 리온,2000-01
2000-01-31,203239,263688,-60449,타지크,2000-01
2000-01-31,203006,85505,117501,모리타니,2000-01
2000-01-31,194611,0,194611,나미비아,2000-01
2000-01-31,181902,105022,76880,벨리제,2000-01
2000-01-31,178817,0,178817,알바니아,2000-01
2000-01-31,170961,6141620,-5970659,룩셈부르그,2000-01
2000-01-31,147632,6048,141584,네덜란드 열도,2000-01
2000-01-31,144509,1906011,-1761502,벨라루스,2000-01
2000-01-31,136048,0,136048,말라위,2000-01
2000-01-31,133144,1172948,-1039804,가봉,2000-01
2000-01-31,131929,26384,105545,우간다,2000-01
2000-01-31,123968,0,123968,영령 캐이맨 군도,2000-01
2000-01-31,122600,0,122600,앙귈라,2000-01
2000-01-31,108017,0,108017,몰디브,2000-01
2000-01-31,97452,156473,-59021,바누아투,2000-01
2000-01-31,96485,0,96485,부탄,2000-01
2000-01-31,77894,0,77894,불령 가이아나,2000-01
2000-01-31,76627,14674,61953,안티가 바부다,2000-01
2000-01-31,64755,47951,16804,잠비아,2000-01
2000-01-31,60729,0,60729,콩고민주공화국,2000-01
2000-01-31,57736,0,57736,존스톤 아일랜드,2000-01
2000-01-31,54409,0,54409,보스니아-헤르체고비나,2000-01
2000-01-31,40009,160943,-120934,말리,2000-01
2000-01-31,39441,0,39441,아르메니아,2000-01
2000-01-31,38756,200316,-161560,모나코,2000-01
2000-01-31,25456,0,25456,키리바티,2000-01
2000-01-31,24823,924813,-899990,솔로몬 군도,2000-01
2000-01-31,24050,0,24050,투발루,2000-01
2000-01-31,23647,0,23647,통가,2000-01
2000-01-31,22499,0,22499,가이아나,2000-01
2000-01-31,21980,47000,-25020,크리스마스 아일랜드,2000-01
2000-01-31,19260,0,19260,상토메 프린스페,2000-01
2000-01-31,19055,0,19055,미령 버진군도,2000-01
2000-01-31,17709,62830,-45121,감비아,2000-01
2000-01-31,10600,0,10600,부룬디,2000-01
2000-01-31,8418,0,8418,중앙아프리카공화국,2000-01
2000-01-31,7123,0,7123,웨이크 아일랜드,2000-01
2000-01-31,5921,0,5921,그레나다,2000-01
2000-01-31,3405,0,3405,티모르,2000-01
2000-01-31,2982,0,2982,안타티카,2000-01
2000-01-31,1257,0,1257,세인트 루시아,2000-01
2000-01-31,244,0,244,산마리노,2000-01
2000-01-31,125,0,125,세인트 빈센트 그레나딘,2000-01
2000-01-31,0,25978,-25978,안도라,2000-01
2000-01-31,0,11433255,-11433255,중립지대,2000-01
2000-01-31,0,246,-246,세인트 피레 미켈론,2000-01
2000-01-31,0,74301,-74301,챠드,2000-01
2000-01-31,0,25924,-25924,리히텐슈타인,2000-01
2000-01-31,0,4962,-4962,세인트 키츠 네비스,2000-01
2000-01-31,0,256913,-256913,세인트 헬레나,2000-01
2000-01-31,0,78272,-78272,그린랜드,2000-01
2000-01-31,0,8,-8,코모로스,2000-01
2000-01-31,0,32416,-32416,프랑스 메트로폴리탄,2000-01
2000-01-31,0,326235,-326235,기네비소,2000-01
2000-01-31,0,27215917,-27215917,이라크,2000-01
2000-02-29,2554309883,2241520169,312789714,미국,2000-02
2000-02-29,1518844843,2430090719,-911245876,일본,2000-02
2000-02-29,1273117309,834290694,438826615,중국,2000-02
2000-02-29,823990122,103088602,720901520,홍콩,2000-02
2000-02-29,642399550,296743339,345656211,대만,2000-02
2000-02-29,445771449,178621230,267150219,영국,2000-02
2000-02-29,379588145,265066095,114522050,싱가포르,2000-02
2000-02-29,333962577,4673387,329289190,파나마,2000-02
2000-02-29,325467100,169200890,156266210,캐나다,2000-02
2000-02-29,277001360,330405082,-53403722,독일,2000-02
2000-02-29,263161464,392270024,-129108560,말레이시아,2000-02
2000-02-29,247368307,443698411,-196330104,인도네시아,2000-02
2000-02-29,242372242,137891531,104480711,필리핀,2000-02
2000-02-29,182842730,90031338,92811392,네덜란드,2000-02
2000-02-29,170502544,494499929,-323997385,호주,2000-02
2000-02-29,163487486,20522644,142964842,스페인,2000-02
2000-02-29,161399497,352742801,-191343304,아랍에미리트 연합,2000-02
2000-02-29,158955171,29093834,129861337,멕시코,2000-02
2000-02-29,152783517,112195486,40588031,이탈리아,2000-02
2000-02-29,145677486,107497245,38180241,태국,2000-02
2000-02-29,144710779,62395253,82315526,인도,2000-02
2000-02-29,133044404,180935806,-47891402,프랑스,2000-02
2000-02-29,115646935,82207031,33439904,브라질,2000-02
2000-02-29,112395157,20890101,91505056,베트남,2000-02
2000-02-29,107201285,145570126,-38368841,이란,2000-02
2000-02-29,85390460,747849244,-662458784,사우디아라비아,2000-02
2000-02-29,83138987,62129936,21009051,벨기에,2000-02
2000-02-29,66151073,19788494,46362579,노르웨이,2000-02
2000-02-29,65540694,4004921,61535773,튀르키예,2000-02
2000-02-29,63186843,2845553,60341290,그리스,2000-02
2000-02-29,59719131,0,59719131,마샬군도,2000-02
2000-02-29,56932874,131812536,-74879662,러시아 연방,2000-02
2000-02-29,52707365,45589983,7117382,핀란드,2000-02
2000-02-29,48040896,82554467,-34513571,스위스,2000-02
2000-02-29,47888735,1402233,46486502,방글라데시,2000-02
2000-02-29,45090838,74449942,-29359104,칠레,2000-02
2000-02-29,42338082,5704541,36633541,폴란드,2000-02
2000-02-29,41734092,961428,40772664,베네주엘라,2000-02
2000-02-29,40541574,35271389,5270185,이스라엘,2000-02
2000-02-29,37411114,10789586,26621528,이집트,2000-02
2000-02-29,37128923,66198109,-29069186,남아프리카공화국,2000-02
2000-02-29,34976044,50863073,-15887029,아일랜드,2000-02
2000-02-29,33206882,21698589,11508293,파키스탄,2000-02
2000-02-29,31749646,3985757,27763889,스리랑카,2000-02
2000-02-29,31146061,1229964,29916097,포루투갈,2000-02
2000-02-29,29786687,2346308,27440379,과테말라,2000-02
2000-02-29,29429039,14786251,14642788,아르헨티나,2000-02
2000-02-29,27358318,1987961,25370357,미얀마,2000-02
2000-02-29,25779658,111243,25668415,알제리,2000-02
2000-02-29,24813896,39674060,-14860164,스웨덴,2000-02
2000-02-29,21444055,49984394,-28540339,뉴질랜드,2000-02
2000-02-29,18189262,10049300,8139962,우즈베키스탄,2000-02
2000-02-29,17779102,14558940,3220162,오스트리아,2000-02
2000-02-29,15747288,88145486,-72398198,오만,2000-02
2000-02-29,15527231,27293906,-11766675,덴마크,2000-02
2000-02-29,15168658,175597876,-160429218,카타르,2000-02
2000-02-29,15135722,7191508,7944214,헝가리,2000-02
2000-02-29,15076482,1573607,13502875,기타국,2000-02
2000-02-29,14424036,22371124,-7947088,나이지리아,2000-02
2000-02-29,13786001,4532409,9253592,페루,2000-02
2000-02-29,13424392,72879,13351513,도미니카 공화국,2000-02
2000-02-29,12959966,121559,12838407,요르단,2000-02
2000-02-29,12781953,167391717,-154609764,쿠웨이트,2000-02
2000-02-29,12123434,4758484,7364950,콜롬비아,2000-02
2000-02-29,12041275,2015479,10025796,루마니아,2000-02
2000-02-29,11786329,29968222,-18181893,우크라이나,2000-02
2000-02-29,11704356,174209,11530147,시리아,2000-02
2000-02-29,10289137,377348,9911789,우루과이,2000-02
2000-02-29,10284634,2097826,8186808,온두라스,2000-02
2000-02-29,8776895,8091989,684906,코스타리카,2000-02
2000-02-29,8442077,100310,8341767,캄보디아,2000-02
2000-02-29,7975796,230829,7744967,레바논,2000-02
2000-02-29,7392607,106230,7286377,튀니지,2000-02
2000-02-29,7340973,5624,7335349,리비아,2000-02
2000-02-29,6758391,7569988,-811597,체코공화국,2000-02
2000-02-29,6562370,35712,6526658,엘살바도르,2000-02
2000-02-29,6535462,4175271,2360191,모로코,2000-02
2000-02-29,6366423,163936,6202487,북마리아나 군도,2000-02
2000-02-29,6181808,778256,5403552,슬로베니아,2000-02
2000-02-29,5837086,1281835,4555251,푸에르토리코,2000-02
2000-02-29,5069495,0,5069495,아프카니스탄,2000-02
2000-02-29,4579117,758,4578359,가나,2000-02
2000-02-29,4265774,54682,4211092,마카오,2000-02
2000-02-29,4209611,164287,4045324,케냐,2000-02
2000-02-29,4204102,53646554,-49442452,예맨,2000-02
2000-02-29,3494684,13443,3481241,파라과이,2000-02
2000-02-29,3421298,276818,3144480,몽골,2000-02
2000-02-29,3346096,2635649,710447,카자흐스탄,2000-02
2000-02-29,3293582,83490586,-80197004,에쿠아도르,2000-02
2000-02-29,2826499,993,2825506,지부티,2000-02
2000-02-29,2822155,0,2822155,니카라과,2000-02
2000-02-29,2667139,20189159,-17522020,수단,2000-02
2000-02-29,2600311,51656,2548655,사이프러스,2000-02
2000-02-29,2309619,2117713,191906,몰타,2000-02
2000-02-29,2264114,14022200,-11758086,바레인,2000-02
2000-02-29,2203218,1066374,1136844,괌,2000-02
2000-02-29,1881026,15664,1865362,모리셔스,2000-02
2000-02-29,1878990,101881,1777109,에티오피아,2000-02
2000-02-29,1845312,0,1845312,코트디봐르,2000-02
2000-02-29,1806076,129306,1676770,탄자니아,2000-02
2000-02-29,1549597,211952,1337645,바하마,2000-02
2000-02-29,1512965,0,1512965,불령 리유니온 코모도 제도,2000-02
2000-02-29,1471488,4878022,-3406534,뉴 칼레도니아,2000-02
2000-02-29,1446810,205643,1241167,짐바브웨,2000-02
2000-02-29,1341646,72914,1268732,네팔,2000-02
2000-02-29,1334649,1067504,267145,리투아니아,2000-02
2000-02-29,1327527,31259,1296268,크로아티아,2000-02
2000-02-29,1296911,565229,731682,불가리아,2000-02
2000-02-29,1263498,0,1263498,키르기스스탄,2000-02
2000-02-29,1259220,0,1259220,베닝,2000-02
2000-02-29,1250928,0,1250928,토고,2000-02
2000-02-29,1248371,273102,975269,아이슬란드,2000-02
2000-02-29,1233905,0,1233905,트리니다드 토바고,2000-02
2000-02-29,1233191,23988,1209203,마다카스카르,2000-02
2000-02-29,1196135,0,1196135,레소토,2000-02
2000-02-29,1190851,0,1190851,챠드,2000-02
2000-02-29,1150213,29401,1120812,모잠비크,2000-02
2000-02-29,1119826,15328439,-14208613,파푸아 뉴기니,2000-02
2000-02-29,1098738,19969,1078769,자마이카,2000-02
2000-02-29,1087462,0,1087462,라트비아,2000-02
2000-02-29,1035936,93376,942560,유고,2000-02
2000-02-29,989559,0,989559,투르크멘,2000-02
2000-02-29,936827,282421,654406,피지,2000-02
2000-02-29,930774,47598,883176,볼리비아,2000-02
2000-02-29,881348,628014,253334,슬로바키아,2000-02
2000-02-29,866092,0,866092,마세도니아,2000-02
2000-02-29,859098,57094,802004,팔레스타인 해방기구(구),2000-02
2000-02-29,848939,0,848939,아이티,2000-02
2000-02-29,809948,0,809948,마티니크,2000-02
2000-02-29,753456,93405,660051,도미니카,2000-02
2000-02-29,617519,0,617519,과델로프,2000-02
2000-02-29,616911,4416245,-3799334,에스토니아,2000-02
2000-02-29,609812,0,609812,팔라우,2000-02
2000-02-29,591929,0,591929,몰도바,2000-02
